Monument,Adresse,Longitude,Latitude,Source
Croix-Gagnee,"Rue de la Croix-Gagnée
",48.699708,6.158089,https://www.pop.culture.gouv.fr/notice/merimee//PA00106107
Eglise Notre-Dame-Bonsecours,"254 avenue de Strasbourg
",48.6767,6.1994,https://www.pop.culture.gouv.fr/notice/merimee//PA00106108
Maison Jeune,"30 rue du Sergent-Blandan
",48.680871,6.165926,https://www.pop.culture.gouv.fr/notice/merimee//PA00106302
Parc Corbin,"36 rue du Sergent-Blandan
",48.680339000000004,6.165897,https://www.pop.culture.gouv.fr/notice/merimee//PA54000010
Maison,"24 rue Félix-Faure
",48.678219,6.16594,https://www.pop.culture.gouv.fr/notice/merimee//PA00132631
Maison,"25 rue Félix-Faure
",48.678036999999996,6.166077,https://www.pop.culture.gouv.fr/notice/merimee//PA00132632
Maison,"26 rue Félix-Faure
",48.678191999999996,6.165853,https://www.pop.culture.gouv.fr/notice/merimee//PA00132633
Maison,"28 rue Félix-Faure
",48.67817,6.165782,https://www.pop.culture.gouv.fr/notice/merimee//PA00132634
Maison,"30 rue Félix-Faure
",48.678149,6.165711,https://www.pop.culture.gouv.fr/notice/merimee//PA00132635
Immeuble,"3 rue de l'Abbé-Gridel
",48.686357,6.161976,https://www.pop.culture.gouv.fr/notice/merimee//PA00106126
Immeuble,"5 rue de l'Abbé-Gridel
",48.686433,6.161922,https://www.pop.culture.gouv.fr/notice/merimee//PA00106127
Maison Jean Prouve,"6 rue Augustin-Hacquard
",48.700765000000004,6.161490000000001,https://www.pop.culture.gouv.fr/notice/merimee//PA00106294
Villa Bonnabel,"107, 111 avenue du Général-Leclerc
",48.6754,6.1767,https://www.pop.culture.gouv.fr/notice/merimee//PA00106321
Villa Majorelle,"1 rue Louis-Majorelle
",48.6855,6.1639,https://www.pop.culture.gouv.fr/notice/merimee//PA00106322
Maison Renaudin,"49, 51 rue Pasteur
",48.681575,6.168373,https://www.pop.culture.gouv.fr/notice/merimee//PA00106257
Maison Coriolis,"113, 115 avenue de Strasbourg
",48.679808,6.196311,https://www.pop.culture.gouv.fr/notice/merimee//PA00106289
Maison Alsacienne Fruhinsholz,"78 avenue du 20e-Corps
",48.697404999999996,6.199685,https://www.pop.culture.gouv.fr/notice/merimee//PA00125526
